math_SAT,verb_SAT,univ_GPA
643,589,3.52
558,512,2.91
583,503,2.4
685,602,3.47
592,538,3.47
562,486,2.37
573,548,2.4
559,536,2.24
552,583,3.02
617,591,3.32
684,649,3.59
568,592,2.54
604,582,3.19
619,624,3.71
642,619,3.58
683,642,3.4
703,684,3.73
712,652,3.49
564,501,2.25
557,549,2.37
591,584,3.29
599,562,3.19
607,619,3.28
619,558,3.37
700,721,3.61
718,732,3.81
580,538,2.4
562,507,2.21
683,648,3.58
717,724,3.51
701,714,3.62
691,684,3.6
714,706,3.65
689,673,3.76
554,507,2.27
564,543,2.35
668,604,3.17
691,662,3.47
573,591,3
568,517,2.74
607,624,3.37
651,683,3.54
604,583,3.28
560,542,3.39
604,617,3.28
574,548,3.19
564,500,2.52
607,528,3.08
619,573,3.01
647,608,3.42
651,683,3.6
571,543,2.4
583,510,2.83
554,538,2.38
568,519,3.21
574,602,2.24
605,619,3.4
591,584,3.07
642,608,3.52
608,573,3.47
574,538,3.08
643,607,3.38
608,649,3.41
709,688,3.64
691,645,3.71
667,583,3.01
656,609,3.37
554,542,2.34
692,563,3.29
684,672,3.4
717,649,3.38
712,708,3.28
641,608,3.31
675,632,3.42
692,698,3.39
684,609,3.51
564,591,3.17
554,509,3.2
685,694,3.41
671,609,3.29
571,503,3.17
582,591,3.12
621,589,3.71
651,642,3.5
673,681,3.34
651,640,3.48
672,607,3.44
591,587,3.59
582,612,3.28
609,555,3
554,480,3.42
612,590,3.41
628,580,3.49
567,602,3.28
619,623,3.17
691,683,3.24
564,549,2.34
650,684,3.28
551,554,2.29
568,541,2.08
605,590,3.64
692,683,3.42
680,692,3.25
617,503,2.76
516,528,3.41
